2022-01-02 18:28:30 INFO  TestBase: BasePage.TestBase :62 - Initializing all elements
2022-01-02 18:28:31 INFO  TestBase: BasePage.TestBase :138 - Running on Windows Operating System with chrome browser
2022-01-02 18:28:36 INFO  TestBase: pages.SignUpPage :345 - Waiting for the element:[[ChromeDriver: chrome on WINDOWS (55c1bea31d1d3d1294a837accf43e3be)] -> xpath: //button[@id='onetrust-accept-btn-handler']] to be clickable
2022-01-02 18:28:37 INFO  TestBase: pages.SignUpPage :345 - Waiting for the element:[[ChromeDriver: chrome on WINDOWS (55c1bea31d1d3d1294a837accf43e3be)] -> xpath: //button[@id='onetrust-accept-btn-handler']] to be clickable
2022-01-02 18:28:37 INFO  TestBase: pages.SignUpPage :345 - Waiting for the element:[[ChromeDriver: chrome on WINDOWS (55c1bea31d1d3d1294a837accf43e3be)] -> xpath: //input[@id='name']] to be clickable
2022-01-02 18:28:37 INFO  TestBase: pages.SignUpPage :345 - Waiting for the element:[[ChromeDriver: chrome on WINDOWS (55c1bea31d1d3d1294a837accf43e3be)] -> xpath: //input[@id='name']] to be clickable
2022-01-02 18:28:37 INFO  TestBase: pages.SignUpPage :345 - Waiting for the element:[[ChromeDriver: chrome on WINDOWS (55c1bea31d1d3d1294a837accf43e3be)] -> xpath: //input[@id='email']] to be clickable
2022-01-02 18:28:37 INFO  TestBase: pages.SignUpPage :345 - Waiting for the element:[[ChromeDriver: chrome on WINDOWS (55c1bea31d1d3d1294a837accf43e3be)] -> xpath: //input[@id='email']] to be clickable
2022-01-02 18:28:37 INFO  TestBase: pages.SignUpPage :345 - Waiting for the element:[[ChromeDriver: chrome on WINDOWS (55c1bea31d1d3d1294a837accf43e3be)] -> xpath: //input[@id='password']] to be clickable
2022-01-02 18:28:38 INFO  TestBase: pages.SignUpPage :345 - Waiting for the element:[[ChromeDriver: chrome on WINDOWS (55c1bea31d1d3d1294a837accf43e3be)] -> xpath: //input[@id='password']] to be clickable
2022-01-02 18:28:38 INFO  TestBase: pages.SignUpPage :345 - Waiting for the element:[[ChromeDriver: chrome on WINDOWS (55c1bea31d1d3d1294a837accf43e3be)] -> xpath: //div[@class='signup__checkbox-wrap']//div[@class='mr-checkbox-1']//span[@class='mr-checkbox-1__wrap']//label[@class='mr-checkbox-1__check']] to be clickable
2022-01-02 18:28:38 INFO  TestBase: pages.SignUpPage :345 - Waiting for the element:[[ChromeDriver: chrome on WINDOWS (55c1bea31d1d3d1294a837accf43e3be)] -> xpath: //div[@class='signup__checkbox-wrap']//div[@class='mr-checkbox-1']//span[@class='mr-checkbox-1__wrap']//label[@class='mr-checkbox-1__check']] to be clickable
